date,safegraph_place,visitor_home_cbg,number
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110232,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076107012,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076105031,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511870206022,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076106041,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076105052,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076112042,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110041,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076105062,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,510594309022,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110151,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110253,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110022,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110251,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110092,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076105044,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,516839103013,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110122,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,510690508033,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,510594802022,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076102022,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076111013,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076101012,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511539014113,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076105073,4
