placekey,safegraph_place_id,location_name,street_address,city,naics_code,latitude,longitude,postal_code
22r-22j@63r-ss3-snq,sg:5978a3ff8c0b43b298f98572bf804de4,Anushaya Fitzgerald PA C,224D Cornwall St NW,Leesburg,621111,39.119392,-77.569025,20176
zzy-224@63r-srz-bc5,sg:5e5640f281f54dbaa8b8c6a2e95b787f,ALDO,Leesburg Corner Premium Oulets,Leesburg,448210,39.104098,-77.540284,20176
229-222@63f-ybf-w6k,sg:8578cccef5be4fedb7bebd06bb53f254,Travis Quesenberry RE MAX 8 SOLD TEAM,801 University City Blvd Ste 16,Blacksburg,531210,37.233824,-80.434656,24060
224-222@63f-ybn-4vz,sg:00d4626a63fd4dcd81fedc837c5ae774,7-Eleven,1201 Toms Creek Rd,Blacksburg,445120,37.24235,-80.428166,24060
zzy-222@63f-wkt-r8v,sg:1bc131e9053a4fc8975286fb86b2eb6a,Stultz Construction,2828 Raleigh Cr,Shawsville,238220,37.097466,-80.238568,24162
zzw-222@63r-ss2-j7q,sg:5183f5bf4b6c4a748e9789479bae6b14,Blue Ridge Grill,955 Edwards Ferry Rd NE,Leesburg,722511,39.112606,-77.53871600000001,20176
224-222@63f-ybx-2c5,sg:17707a7d18454c1ba0eda589c7814d20,NAPA Auto Parts,1655 N Franklin St,Christiansburg,441310,37.151441,-80.412511,24073
zzy-222@63f-yj5-6zf,sg:abebb9ed1d7c40ab9abef65929eadcef,TJ's Truck & Auto Service,5343 Bagging Plant Rd,Dublin,811111,37.096558,-80.685092,24084
zzw-223@63f-wgj-8qf,sg:e91ce00dc62f40e59ec113e55bd8e92e,Trebel Wellness Solutions,112B Country Club Dr SW,Blacksburg,713940,37.217712,-80.403071,24060
222-222@63f-ykr-dvz,sg:7ba3a0aecb664c1290ce96c31df675da,Flowers Baking Co of West Virginia,7310 Peppers Ferry Blvd,Fairlawn,311811,37.147542,-80.584664,24141
zzw-223@63r-ss2-3wk,sg:934c47121ce4418bb187bbe160966b98,Dollar Tree,508 Fort Evans Rd,Leesburg,452319,39.107688,-77.529663,20176
222-222@63f-yb6-st9,sg:5716d271a51c40a0b8060ee0d3dc0ca1,Sweet & Savory Donuts and Bagels,1026 Clement St,Radford,722515,37.137838,-80.554589,24141
222-222@63f-s3s-swk,sg:f1b449aac2fe4a2abee2453d725cb757,Carilion Clinic Neurology New River Valley,2900 Lamb Cir Ste 360,Christiansburg,621111,37.088533,-80.505556,24073
222-224@63f-ybq-grk,sg:9115be86a58944298d5a614cc05ade99,Matthew Tomada DDS Streamline Blacksburg Office,614 S Main St,Blacksburg,621210,37.224863,-80.409471,24060
zzw-223@63f-wgh-gc5,sg:ed6ae3bfaf9b4eb591cb352c0c636a13,Relax Blacksburg,2001 S Main St Ste 106,Blacksburg,812199,37.205172999999995,-80.398327,24060
22m-222@63r-sy9-nbk,sg:0c1202deb4484bff8a14f343d5ae8216,Lansdowne Vapes,19338 Diamond Lake Dr,Lansdowne,453991,39.081379,-77.492936,20176
zzw-223@63r-stm-nyv,sg:b3fc6c491b984f948f8a427ef07e00ea,MinuteClinic,1200 Edwards Ferry Rd NE,Leesburg,621111,39.116087,-77.535614,20176
zzw-228@63r-srz-f2k,sg:3ef3dfc47c9748339a3d4e9942bfd29d,Bass,241 Fort Evans Rd NE,Leesburg,448210,39.10618,-77.538031,20176
zzw-222@63f-wqk-cwk,sg:5ef16da51a9e4f6fa937260449827054,Dereks Motorcycle & Mechanical Svs,5229 Catawba Valley Dr,Catawba,441228,37.381009999999996,-80.12198199999999,24070
224-226@63f-ybp-hdv,sg:978ddd02a21046869ffe1a1b414e4633,Clark Laura,305 Washington St SW,Blacksburg,621330,37.225821999999994,-80.415238,24060
222-222@63r-ss2-gzf,sg:dfe87ba87a9e4dc0bbaf1d6ccfd92339,Chick-fil-A,1002 Edwards Ferry Rd NE,Leesburg,722513,39.114553,-77.536873,20176
222-222@63f-y9z-brk,sg:00fc924584a44dfab26f1de8656d12ad,Macado's,510 E Main St,Radford,722513,37.136902,-80.543583,24141
222-223@63f-yhy-p9z,sg:01e9cc5535864a0a9c78884f9081093d,Community Health Center of the New River Valley,5826 Ruebush Rd,Dublin,621210,37.115590999999995,-80.669948,24084
223-222@63r-ss3-snq,sg:5652c84ef3ed4a66a0d0fbef96ea3fa5,Nephrology Associates of Northern Virginia,224 Cornwall St NW Ste 100,Leesburg,621111,39.119962,-77.568754,20176
222-222@63f-y9w-mzf,sg:d7d24579757c44c886f4bf529cc7512a,United States Postal Service (USPS),6100 Centennial Rd,Mc Coy,491110,37.216091999999996,-80.594782,24111
222-222@63f-rw4-4qf,sg:639210e2897b45a5b7264ce792891349,Anne M Howland PA,110 Akers Farm Rd,Christiansburg,621111,37.147083,-80.41390799999999,24073
225-222@63f-yb6-cwk,sg:808374a199b742d4a5a959adc424bfe5,Radford Phone Repair,601 Calhoun St Apt C,Radford,811211,37.133306,-80.548558,24141
zzw-225@63f-yc3-975,sg:d1787fe2f53c42e8984ed058ffbd3e2c,Harden David,3700 S Main St,Blacksburg,621111,37.18744,-80.411199,24060
zzw-222@63f-ybw-wc5,sg:b006c164c4a14d889d2e6439f0335fca,Greenbrook TMS Christiansburg,2045 N Franklin St Ste D,Christiansburg,621330,37.157887,-80.417401,24073
zzw-236@63f-s3r-2tv,sg:db273eaac79149df8e6e8648289b7adf,Carol A Felts NP,2900 Lamb Cir,Christiansburg,621111,37.089293,-80.505647,24073
222-222@63f-yj3-hyv,sg:3cb9ecabb5d542b5a9a7c27730330a1d,Agape Healing Massage,140 Broad St,Dublin,812199,37.103532,-80.687878,24084
zzw-222@63f-yry-b8v,sg:7443b95d49e44e9facd21eda76928795,State Farm,1500 N Main St,Blacksburg,524210,37.24858,-80.41286099999999,24060
zzy-222@63f-yj5-975,sg:a7f4ee10fe7b4e5eb6e3f994dc925c4f,Basil Pizza,248 W Main St,Dublin,722511,37.103859,-80.685383,24084
228-222@63f-s4s-v2k,sg:d357651c3cd14fa48615b6da9e4aefba,Christ Lutheran Church,205 Harvey St,Radford,813110,37.133303999999995,-80.573823,24141
224-222@63f-tx6-249,sg:05cea067e8e942b7aa10e2cfa4326de8,Heartland Rehabilitation Services,5286 Alexander Rd,Dublin,621340,37.084507,-80.69180899999999,24084
zzw-222@63f-ybn-87q,sg:299c9beab62640cda5ed72b45ccc8ab7,United States Postal Service (USPS),909 University City Blvd,Blacksburg,491110,37.236359,-80.435322,24060
225-222@63f-tx4-wc5,sg:2b575bae91444199bf773552325eafcb,Hutchison Painting,5620 Harless Ln,Dublin,811121,37.098613,-80.696658,24084
